id;calories;proteins;fat;carbohydrate;name;composition;origin
743;345.0;12.0;1.5;71.5;Kerupuk Melinjo mentah;sayuran;Jawa Barat
744;431.0;11.1;16.2;63.0;Kerupuk Melinjo tebal goreng asin;sayuran;Jawa Barat
745;439.0;10.0;16.4;65.7;Kerupuk Melinjo tebal goreng manis;sayuran;Jawa Barat
746;485.0;11.5;24.5;59.1;Kerupuk Melinjo tipis goreng;sayuran;Jawa Barat
748;46.7;17.3;17.3;81.3;Kerupuk Sayong ;sayuran;Jawa Timur
749;340.0;30.0;30.0;52.0;Kerupuk Udang ;Seafood, sayuran;Jawa Timur
750;359.0;17.2;68.2;332.0;Kerupuk Udang berpati;Seafood, sayuran;Jawa Timur
751;477.0;4.7;20.5;68.5;Kerupuk udang goreng;Seafood, sayuran;Jawa Timur
752;588.0;53.7;40.9;1.2;Kerupuk urat;sayuran;Jawa Timur
761;9.0;0.5;0.1;1.9;Ketimun madura segar;sayuran;Jawa Timur
762;153.0;7.9;7.7;13.0;Ketoprak;sayuran;DKI Jakarta
765;109.6;2.6;2.6;18.6;Ketupat Tahu ;Kedelai, sayuran;DI Yogyakarta
775;332.0;24.0;3.0;55.0;Koro Benguk biji;sayuran;Jawa Tengah
776;141.0;10.2;1.3;23.2;Koro Benguk tempe;Kedelai, sayuran;Jawa Tengah
780;338.0;22.2;1.5;61.0;Koro Wedus biji;sayuran;Jawa Tengah
781;38.0;3.0;0.3;7.9;Koro Wedus buah muda;sayuran;Jawa Tengah
782;46.0;3.0;0.3;7.9;Koro wedus polong;sayuran;Jawa Tengah
787;542.0;40.3;42.4;11.5;Kripik Tempe Goreng ;Kedelai;Jawa Tengah
793;186.7;1.6;1.6;39.6;Kue Apem ;sayuran;Jawa Tengah
794;338.0;1.5;1.2;80.3;Kue bangket;sayuran;Jawa Tengah
795;240.0;1.0;4.0;54.0;Kue Bugis ;sayuran;Jawa Tengah
798;366.0;4.2;4.3;7.9;Kue Koya ;sayuran;DI Yogyakarta
799;291.0;3.6;11.1;44.1;Kue lumpur;sayuran;Jawa Tengah
800;182.0;1.0;1.0;40.4;Kue mangkok ;sayuran;Jawa Tengah
801;126.7;0.7;0.7;57.3;Kue Pacar Cina ;sayuran;DI Yogyakarta
802;296.0;1.4;1.4;66.4;Kue Pia ;sayuran;DI Yogyakarta
803;304.0;5.3;7.0;54.9;Kue putu cangkir;sayuran;DI Yogyakarta
805;393.3;2.7;2.7;79.3;Kue Satu ;sayuran;Banten
806;380.0;1.0;1.0;92.0;Kue Semprong ;sayuran;Banten
808;180.0;5.0;5.0;32.0;Kue Talam ;sayuran;Jawa Barat
809;512.0;26.0;26.0;60.4;Kue Tambang ;sayuran;Jawa Tengah
811;111.0;4.5;1.1;20.7;Kulit melinjo;sayuran;Jawa Barat
821;166.3;2.7;3.9;29.5;Laksa ;sayuran;Banten
829;422.0;0.9;10.8;80.4;Lanting getuk;sayuran;Jawa Tengah
830;389.0;6.6;15.7;55.5;Lapis legit;sayuran;Jawa Timur
835;405.0;4.8;5.1;84.9;Ledre pisang;sayuran;DI Yogyakarta
844;221.3;3.8;3.6;43.4;Lemper ;sayuran;DI Yogyakarta
847;33.0;1.9;0.1;7.4;Leunca buah;sayuran;Jawa Barat
848;240.0;7.8;0.5;51.3;Leupeut Ketan ;sayuran;Jawa Barat
854;163.3;2.8;2.2;33.0;Lopis ;sayuran;Jawa Tengah
855;38.0;1.1;0.3;7.6;Lumai/Leunca segar;sayuran;Jawa Barat
856;164.0;1.8;2.1;34.5;Lupis ketan;sayuran;Jawa Tengah
861;44.0;0.7;0.2;11.2;Mangga Gedong;sayuran;Jawa Barat
862;63.0;0.5;0.2;16.7;Mangga Golek;sayuran;Jawa Timur
863;46.0;0.4;0.2;11.9;Mangga Harum Manis;sayuran;Jawa Timur
864;72.0;0.8;0.2;18.7;Mangga Indramayu;sayuran;Jawa Barat
865;56.0;0.4;0.2;14.6;Mangga Kopek;sayuran;Jawa Tengah
867;133.0;1.0;0.1;32.1;Mangga manalagi segar;sayuran;Jawa Timur
875;265.3;4.7;5.5;49.3;Martabak  manis;sayuran;Jawa Timur
878;200.0;8.9;5.1;29.5;Martabak Telur ;Telur;Jawa Timur
882;66.0;5.0;0.7;13.3;Melinjo;sayuran;Jawa Barat
889;71.0;0.2;0.8;15.9;Mi golosor;Gandum;Jawa Barat
892;102.0;6.2;3.9;10.5;Mie ayam;Gandum, daging ayam;Jawa Timur
893;114.0;5.3;3.0;16.4;Mie bakso;Gandum;Jawa Timur
895;353.0;0.3;0.0;88.0;Mie Bendo;Gandum;Jawa Tengah
896;102.0;3.0;2.1;17.8;Mie celon;Gandum;Jawa Barat
